Kp,3,Ki,0.03,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
6.07038,-50.4667,19.9796,0,0,1,-1
12.0766,-50.4667,19.9796,0,0,1,-1
18.0787,-50.4667,19.9796,0,0,1,-1
23.9309,-50.4667,19.9796,0,0,1,-1
30.1572,-50.4667,19.9796,0,0,1,-1
36.0917,-50.4667,19.9796,0,0,1,-1
42.0927,-50.4667,19.9796,0,0,1,-1
48.0975,-50.4667,19.9796,0,0,1,-1
53.9502,-50.4667,19.9796,0,0,1,-1
60.1778,-50.4667,19.9796,0,0,1,-1
65.978,-50.4667,19.9796,0,0,1,-1
71.9442,-50.4667,19.9796,0,0,1,-1
96.995,-50.4737,19.9654,0,0,1,-1
230.372,-50.4737,19.9654,0,0,1,-1
236.101,-50.4737,19.9654,0,0,1,-1
242.05,-50.4737,19.9654,0,0,1,-1
248.068,-50.4737,19.9654,0,0,1,-1
254.236,-50.4737,19.9654,0,0,1,-1
260.237,-50.4737,19.9654,0,0,1,-1
266.118,-50.4737,19.9654,0,0,1,-1
272.102,-50.4737,19.9654,0,0,1,-1
278.073,-50.4737,19.9654,0,0,1,-1
284.26,-50.4737,19.9654,0,0,1,-1
290.123,-50.4737,19.9654,0,0,1,-1
296.111,-50.4737,19.9654,0,0,1,-1
302.138,-50.4737,19.9654,0,0,1,-1
308.094,-50.4737,19.9654,0,0,1,-1
314.021,-50.4722,19.9853,0,0,1,-1
320.092,-50.4722,19.9853,0,0,1,-1
326.199,-50.4722,19.9853,0,0,1,-1
332.122,-50.4722,19.9853,0,0,1,-1
338.172,-50.4722,19.9853,0,0,1,-1
344.138,-50.4722,19.9853,0,0,1,-1
350.124,-50.4722,19.9853,0,0,1,-1
356.303,-50.4722,19.9853,0,0,1,-1
362.143,-50.4722,19.9853,0,0,1,-1
368.12,-50.4722,19.9853,0,0,1,-1
374.152,-50.4722,19.9853,0,0,1,-1
380.267,-50.4722,19.9853,0,0,1,-1
386.135,-50.4722,19.9853,0,0,1,-1
392.079,-50.4804,19.9815,0,0,1,-1
398.145,-50.4804,19.9815,248.069,-145.166,1,-1
404.131,-50.4804,19.9815,248.069,-145.166,1,-2
410.133,-50.4804,19.9815,248.069,-145.166,6,-3
416.239,-50.4804,19.9815,248.069,-145.166,26,-11
422.247,-50.4804,19.9815,248.069,-145.166,69,-33
428.26,-50.4804,19.9815,248.069,-145.166,124,-65
434.231,-50.4804,19.9815,248.069,-145.166,170,-93
440.364,-50.4804,19.9815,248.069,-145.166,205,-114
446.37,-50.4804,19.9815,248.069,-145.166,227,-126
452.376,-50.4804,19.9815,248.069,-145.166,235,-132
458.277,-50.4804,19.9815,248.069,-145.166,237,-134
464.22,-50.4804,19.9815,248.069,-145.166,238,-135
470.149,-50.4804,19.9815,248.069,-145.166,238,-136
476.836,-50.5098,19.9634,151.582,-159.255,239,-137
483.272,-50.5098,19.9634,151.582,-159.255,239,-138
489.403,-50.5098,19.9634,151.582,-159.255,237,-140
495.204,-50.5098,19.9634,151.582,-159.255,223,-145
501.322,-50.5098,19.9634,151.582,-159.255,203,-153
507.208,-50.5098,19.9634,151.582,-159.255,187,-159
513.212,-50.5098,19.9634,151.582,-159.255,181,-161
519.338,-50.5098,19.9634,151.582,-159.255,179,-162
525.271,-50.5098,19.9634,151.582,-159.255,178,-163
531.354,-50.5098,19.9634,151.582,-159.255,177,-163
537.346,-50.5098,19.9634,151.582,-159.255,177,-164
543.265,-50.5098,19.9634,151.582,-159.255,176,-164
549.18,-50.5098,19.9634,151.582,-159.255,175,-164
555.721,-50.2252,19.7004,150.137,-200.387,174,-164
561.38,-50.2252,19.7004,150.137,-200.387,173,-164
567.369,-50.2252,19.7004,150.137,-200.387,168,-170
573.274,-50.2252,19.7004,150.137,-200.387,158,-184
579.373,-50.2252,19.7004,150.137,-200.387,152,-194
585.385,-50.2252,19.7004,150.137,-200.387,149,-197
591.394,-50.2252,19.7004,150.137,-200.387,147,-199
597.375,-50.2252,19.7004,150.137,-200.387,146,-200
603.282,-50.2252,19.7004,150.137,-200.387,146,-201
609.471,-50.2252,19.7004,150.137,-200.387,145,-201
615.479,-50.2252,19.7004,150.137,-200.387,145,-202
621.427,-50.2252,19.7004,150.137,-200.387,144,-202
627.401,-50.2252,19.7004,150.137,-200.387,143,-203
633.339,-50.2252,19.7004,150.137,-200.387,142,-203
639.334,-49.5658,19.045,147.479,-247.509,141,-204
645.506,-49.5658,19.045,147.479,-247.509,141,-207
651.511,-49.5658,19.045,147.479,-247.509,141,-220
657.509,-49.5658,19.045,147.479,-247.509,141,-236
663.511,-49.5658,19.045,147.479,-247.509,141,-245
669.383,-49.5658,19.045,147.479,-247.509,141,-247
675.413,-49.5658,19.045,147.479,-247.509,141,-248
681.368,-49.5658,19.045,147.479,-247.509,141,-249
