Kp,5,Ki,0.02,Kd,150
time,m_BallPos(0),m_BallPos(1),m_XCtrl.Output,m_YCtrl.Output,XEnc,YEnc
5.33112,39.5406,-23.2794,0,0,0,0
11.2823,39.5406,-23.2794,0,0,0,0
17.2815,39.5406,-23.2794,0,0,0,0
23.3373,39.5406,-23.2794,0,0,0,0
29.3397,39.5406,-23.2794,0,0,0,0
35.285,39.5406,-23.2794,0,0,0,0
41.2857,39.5406,-23.2794,0,0,0,0
47.3388,39.5406,-23.2794,0,0,0,0
53.3521,39.5406,-23.2794,0,0,0,0
59.2936,39.5406,-23.2794,0,0,0,0
65.2984,39.5406,-23.2794,0,0,0,0
71.3552,39.5406,-23.2794,0,0,0,0
77.2971,39.5406,-23.2794,0,0,0,0
83.4541,39.5406,-23.2794,0,0,0,0
89.4241,39.5406,-23.2794,0,0,0,0
95.3548,39.5406,-23.2794,0,0,0,0
101.48,39.5406,-23.2794,0,0,0,0
107.418,39.5406,-23.2794,0,0,0,0
113.471,39.5406,-23.2794,0,0,0,0
119.43,39.5406,-23.2794,0,0,0,0
125.362,39.5406,-23.2794,0,0,0,0
131.49,39.5406,-23.2794,0,0,0,0
137.759,39.5406,-23.2794,0,0,0,0
144.837,39.5882,-23.2803,0,0,0,0
150.584,39.5882,-23.2803,0,0,0,0
156.497,39.5882,-23.2803,0,0,0,0
162.385,39.5882,-23.2803,0,0,0,0
168.387,39.5882,-23.2803,0,0,0,0
174.331,39.5882,-23.2803,0,0,0,0
180.457,39.5882,-23.2803,0,0,0,0
186.507,39.5882,-23.2803,0,0,0,0
192.391,39.5882,-23.2803,0,0,0,0
198.462,39.5882,-23.2803,0,0,0,0
204.469,39.5882,-23.2803,0,0,0,0
210.344,39.5882,-23.2803,0,0,0,0
216.97,39.5749,-23.3052,-336.456,163.299,0,0
222.53,39.5749,-23.3052,-336.456,163.299,0,0
228.533,39.5749,-23.3052,-336.456,163.299,-5,1
234.478,39.5749,-23.3052,-336.456,163.299,-21,4
240.524,39.5749,-23.3052,-336.456,163.299,-55,16
246.474,39.5749,-23.3052,-336.456,163.299,-102,37
252.458,39.5749,-23.3052,-336.456,163.299,-163,68
258.519,39.5749,-23.3052,-336.456,163.299,-223,98
264.527,39.5749,-23.3052,-336.456,163.299,-271,120
270.499,39.5749,-23.3052,-336.456,163.299,-305,136
276.524,39.5749,-23.3052,-336.456,163.299,-325,148
282.628,39.5749,-23.3052,-336.456,163.299,-334,152
288.444,39.5749,-23.3052,-336.456,163.299,-337,153
294.442,39.5749,-23.3052,-336.456,163.299,-338,154
301.044,39.5487,-23.2739,-330.674,116.313,-339,155
307.561,39.5487,-23.2739,-330.674,116.313,-340,155
313.489,39.5487,-23.2739,-330.674,116.313,-340,153
319.505,39.5487,-23.2739,-330.674,116.313,-339,147
325.558,39.5487,-23.2739,-330.674,116.313,-339,145
331.456,39.5487,-23.2739,-330.674,116.313,-339,145
337.638,39.5487,-23.2739,-330.674,116.313,-339,145
343.507,39.5487,-23.2739,-330.674,116.313,-339,145
349.644,39.5487,-23.2739,-330.674,116.313,-339,144
355.553,39.5487,-23.2739,-330.674,116.313,-339,144
361.544,39.5487,-23.2739,-330.674,116.313,-339,143
367.655,39.5487,-23.2739,-330.674,116.313,-339,143
374.395,39.5487,-23.2739,-330.674,116.313,-339,142
380.481,38.9501,-22.8819,-380.382,113.666,-339,142
386.571,38.9501,-22.8819,-380.382,113.666,-339,140
392.656,38.9501,-22.8819,-380.382,113.666,-344,133
398.515,38.9501,-22.8819,-380.382,113.666,-355,120
404.471,38.9501,-22.8819,-380.382,113.666,-362,112
410.48,38.9501,-22.8819,-380.382,113.666,-365,110
416.517,38.9501,-22.8819,-380.382,113.666,-366,108
422.571,38.9501,-22.8819,-380.382,113.666,-367,107
428.571,38.9501,-22.8819,-380.382,113.666,-367,107
434.495,38.9501,-22.8819,-380.382,113.666,-367,106
440.492,38.9501,-22.8819,-380.382,113.666,-367,106
446.567,38.9501,-22.8819,-380.382,113.666,-368,105
452.676,38.9501,-22.8819,-380.382,113.666,-368,105
459.337,37.2384,-22.8356,-430.828,114.091,-368,104
465.492,37.2384,-22.8356,-430.828,114.091,-369,104
471.682,37.2384,-22.8356,-430.828,114.091,-378,104
477.5,37.2384,-22.8356,-430.828,114.091,-399,104
483.585,37.2384,-22.8356,-430.828,114.091,-419,104
489.579,37.2384,-22.8356,-430.828,114.091,-428,104
495.618,37.2384,-22.8356,-430.828,114.091,-430,104
501.685,37.2384,-22.8356,-430.828,114.091,-431,104
507.58,37.2384,-22.8356,-430.828,114.091,-432,104
513.504,37.2384,-22.8356,-430.828,114.091,-433,104
519.611,37.2384,-22.8356,-430.828,114.091,-433,104
525.52,37.2384,-22.8356,-430.828,114.091,-434,104
531.567,37.2384,-22.8356,-430.828,114.091,-434,104
537.529,37.2384,-22.8356,-430.828,114.091,-434,104
543.568,35.5326,-21.912,-484.047,107.852,-434,104
549.504,35.5326,-21.912,-484.047,107.852,-437,104
